V1,V2,V3,V4,V5,V6,V7,V8,V9,Y1,Y2,Y3,Y
0,0.419780652,0.419780652,0.419780652,0.419780652,0.968302596,0.970137282,0.953159101,0.954208354,1,1,1,7
0.066666667,0.512436417,0.512436417,0.512436417,0.512436417,0.329757888,0.33327044,0.338161695,0.340032114,1,1,1,7
0.28,0.407323384,0.407323384,0.407323384,0.407323384,0.079939669,0.074742902,0.071503109,0.063925514,0,0,1,4
0.986666667,0.247706562,0.247706562,0.247706562,0.247706562,0.06140095,0.057995594,0.051832013,0.048913556,1,0,1,5
0.386666667,0.744788061,0.744788061,0.744788061,0.744788061,0.075136187,0.076096238,0.066182738,0.062595583,0,1,1,6
0.586666667,0.520533389,0.520533389,0.520533389,0.520533389,0.052557495,0.050672862,0.052485594,0.047198999,0,1,1,6
0.586666667,0.288611484,0.288611484,0.288611484,0.288611484,0.07292912,0.072169211,0.069726452,0.064230219,1,0,1,5
0.333333333,0.603890598,0.603890598,0.603890598,0.603890598,0.075581537,0.074426458,0.065557086,0.061079045,0,1,1,6
0.64,0.643621416,0.643621416,0.643621416,0.643621416,0.061256157,0.055728016,0.059205846,0.051517157,0,1,1,6
0.16,0.560946489,0.560946489,0.560946489,0.560946489,0.098665059,0.091623626,0.10136232,0.092605348,0,1,1,6
0.666666667,0.526688393,0.526688393,0.526688393,0.526688393,0.075378533,0.067934383,0.071656995,0.062432661,0,0,1,4
0.72,0.399733312,0.399733312,0.399733312,0.399733312,0.028893227,0.026902231,0.029454049,0.025429964,1,1,0,3
0.266666667,0.495279957,0.495279957,0.495279957,0.495279957,0.04690471,0.043257343,0.043657225,0.038243224,1,1,0,3
0.453333333,0.476736907,0.476736907,0.476736907,0.476736907,0.058549656,0.061064688,0.053555279,0.051434261,1,1,0,3
0.84,0.53343522,0.53343522,0.53343522,0.53343522,0.057821639,0.054396572,0.047974357,0.045106766,0,0,1,4
0.52,0.582258289,0.582258289,0.582258289,0.582258289,0.057916644,0.058211782,0.056600986,0.052308928,0,1,1,6
0.84,0.449191245,0.449191245,0.449191245,0.449191245,0.055122142,0.050892915,0.0485645,0.04356313,1,1,0,3
0.693333333,0.435973423,0.435973423,0.435973423,0.435973423,0.079919291,0.072536622,0.077010569,0.067150624,1,0,1,5
0.2,0.486397971,0.486397971,0.486397971,0.486397971,0.068808413,0.061631785,0.067294254,0.058676524,0,0,0,0
0.04,0.138515086,0.138515086,0.138515086,0.138515086,0.471952283,0.477047206,0.460357225,0.463973388,1,0,0,1
0.84,0.640357275,0.640357275,0.640357275,0.640357275,0.050995603,0.047621096,0.042525661,0.039039913,0,1,0,2
0.093333333,0.47064193,0.47064193,0.47064193,0.47064193,0.217881371,0.216906404,0.225253088,0.221083701,0,0,1,4
0.48,0.519642149,0.519642149,0.519642149,0.519642149,0.067533503,0.067856729,0.0644744,0.059957908,0,0,1,4
0.16,0.738822925,0.738822925,0.738822925,0.738822925,0.062685598,0.056748743,0.063825538,0.056616616,0,0,0,0
0.32,0.517965142,0.517965142,0.517965142,0.517965142,0.071652419,0.069364616,0.062741444,0.057492146,0,1,1,6
0.093333333,0.392106951,0.392106951,0.392106951,0.392106951,0.209265711,0.211316728,0.215468119,0.215199183,1,0,1,5
0.986666667,0.463078502,0.463078502,0.463078502,0.463078502,0.057922936,0.054253188,0.054644696,0.049788504,0,0,1,4
0.893333333,0.578256094,0.578256094,0.578256094,0.578256094,0.017168697,0.01730514,0.012162448,0.013110788,0,1,0,2
0.373333333,0.433382593,0.433382593,0.433382593,0.433382593,0.068810689,0.068527131,0.060812711,0.05682104,1,1,1,7
0.026666667,0.818307313,0.818307313,0.818307313,0.818307313,0.564197082,0.566108038,0.582950082,0.585077247,0,1,1,6
0.333333333,0.19932024,0.19932024,0.19932024,0.19932024,0.069305483,0.065005728,0.062827156,0.05602491,1,0,0,1
0.4,0.378846627,0.378846627,0.378846627,0.378846627,0.078415277,0.077899907,0.069389961,0.064939331,1,1,1,7
0.866666667,0.36209069,0.36209069,0.36209069,0.36209069,0.057789681,0.053233866,0.049230601,0.044901689,1,0,1,5
0.506666667,0.384419214,0.384419214,0.384419214,0.384419214,0.015220737,0.01973146,0.016506019,0.016800798,1,0,0,1
